1,0,33,50,1402
1,1,26,31,1275
1,2,19,47,2168
1,3,8,10,1611
1,4,15,37,1281
1,5,36,30,1909
1,6,19,45,1988
1,7,38,50,1824
1,8,5,15,2044
1,9,1,17,2360
1,10,11,42,1871
1,11,27,14,1382
1,12,26,19,1193
1,13,34,37,1767
1,14,19,1,2374
1,15,26,35,1417
1,16,28,49,1049
1,17,26,7,1392
1,18,39,37,1075
1,19,18,30,1535
1,20,36,14,1374
1,21,10,10,1857
1,22,16,43,1000
1,23,27,36,1160
2,0,42,36,2229
2,1,32,14,2487
2,2,35,41,1562
2,3,22,43,2054
2,4,36,44,1167
2,5,21,42,1815
2,6,18,14,1565
2,7,39,45,1065
2,8,4,38,1897
2,9,35,41,2253
2,10,1,27,1909
2,11,40,6,1008
2,12,35,36,2121
2,13,40,3,1432
2,14,10,17,1559
2,15,1,43,1665
2,16,24,34,2084
2,17,25,50,2036
2,18,22,38,2399
2,19,33,10,2484
2,20,26,21,1327
2,21,22,30,1337
2,22,22,28,1894
2,23,23,39,1752
3,0,29,32,1811
3,1,33,25,1716
